"date","hits","keyword"
2004-01-01,2,"Data Science"
2004-02-01,2,"Data Science"
2004-03-01,1,"Data Science"
2004-04-01,1,"Data Science"
2004-05-01,1,"Data Science"
2004-06-01,1,"Data Science"
2004-07-01,1,"Data Science"
2004-08-01,1,"Data Science"
2004-09-01,1,"Data Science"
2004-10-01,1,"Data Science"
2004-11-01,1,"Data Science"
2004-12-01,1,"Data Science"
2005-01-01,2,"Data Science"
2005-02-01,1,"Data Science"
2005-03-01,1,"Data Science"
2005-04-01,1,"Data Science"
2005-05-01,1,"Data Science"
2005-06-01,1,"Data Science"
2005-07-01,1,"Data Science"
2005-08-01,1,"Data Science"
2005-09-01,1,"Data Science"
2005-10-01,1,"Data Science"
2005-11-01,1,"Data Science"
2005-12-01,1,"Data Science"
2006-01-01,1,"Data Science"
2006-02-01,1,"Data Science"
2006-03-01,1,"Data Science"
2006-04-01,1,"Data Science"
2006-05-01,1,"Data Science"
2006-06-01,1,"Data Science"
2006-07-01,1,"Data Science"
2006-08-01,1,"Data Science"
2006-09-01,1,"Data Science"
2006-10-01,1,"Data Science"
2006-11-01,1,"Data Science"
2006-12-01,1,"Data Science"
2007-01-01,1,"Data Science"
2007-02-01,1,"Data Science"
2007-03-01,1,"Data Science"
2007-04-01,1,"Data Science"
2007-05-01,1,"Data Science"
2007-06-01,1,"Data Science"
2007-07-01,1,"Data Science"
2007-08-01,1,"Data Science"
2007-09-01,1,"Data Science"
2007-10-01,1,"Data Science"
2007-11-01,1,"Data Science"
2007-12-01,1,"Data Science"
2008-01-01,1,"Data Science"
2008-02-01,1,"Data Science"
2008-03-01,1,"Data Science"
2008-04-01,1,"Data Science"
2008-05-01,1,"Data Science"
2008-06-01,1,"Data Science"
2008-07-01,1,"Data Science"
2008-08-01,1,"Data Science"
2008-09-01,1,"Data Science"
2008-10-01,1,"Data Science"
2008-11-01,1,"Data Science"
2008-12-01,1,"Data Science"
2009-01-01,1,"Data Science"
2009-02-01,1,"Data Science"
2009-03-01,1,"Data Science"
2009-04-01,1,"Data Science"
2009-05-01,1,"Data Science"
2009-06-01,1,"Data Science"
2009-07-01,1,"Data Science"
2009-08-01,1,"Data Science"
2009-09-01,1,"Data Science"
2009-10-01,1,"Data Science"
2009-11-01,1,"Data Science"
2009-12-01,1,"Data Science"
2010-01-01,1,"Data Science"
2010-02-01,1,"Data Science"
2010-03-01,1,"Data Science"
2010-04-01,1,"Data Science"
2010-05-01,1,"Data Science"
2010-06-01,1,"Data Science"
2010-07-01,1,"Data Science"
2010-08-01,1,"Data Science"
2010-09-01,1,"Data Science"
2010-10-01,1,"Data Science"
2010-11-01,1,"Data Science"
2010-12-01,1,"Data Science"
2011-01-01,1,"Data Science"
2011-02-01,1,"Data Science"
2011-03-01,1,"Data Science"
2011-04-01,1,"Data Science"
2011-05-01,1,"Data Science"
2011-06-01,1,"Data Science"
2011-07-01,1,"Data Science"
2011-08-01,1,"Data Science"
2011-09-01,1,"Data Science"
2011-10-01,1,"Data Science"
2011-11-01,1,"Data Science"
2011-12-01,1,"Data Science"
2012-01-01,1,"Data Science"
2012-02-01,1,"Data Science"
2012-03-01,1,"Data Science"
2012-04-01,1,"Data Science"
2012-05-01,1,"Data Science"
2012-06-01,1,"Data Science"
2012-07-01,1,"Data Science"
2012-08-01,1,"Data Science"
2012-09-01,1,"Data Science"
2012-10-01,1,"Data Science"
2012-11-01,1,"Data Science"
2012-12-01,1,"Data Science"
2013-01-01,1,"Data Science"
2013-02-01,1,"Data Science"
2013-03-01,1,"Data Science"
2013-04-01,1,"Data Science"
2013-05-01,1,"Data Science"
2013-06-01,1,"Data Science"
2013-07-01,1,"Data Science"
2013-08-01,1,"Data Science"
2013-09-01,2,"Data Science"
2013-10-01,2,"Data Science"
2013-11-01,1,"Data Science"
2013-12-01,1,"Data Science"
2014-01-01,2,"Data Science"
2014-02-01,2,"Data Science"
2014-03-01,2,"Data Science"
2014-04-01,2,"Data Science"
2014-05-01,2,"Data Science"
2014-06-01,2,"Data Science"
2014-07-01,2,"Data Science"
2014-08-01,2,"Data Science"
2014-09-01,3,"Data Science"
2014-10-01,2,"Data Science"
2014-11-01,2,"Data Science"
2014-12-01,2,"Data Science"
2015-01-01,2,"Data Science"
2015-02-01,3,"Data Science"
2015-03-01,3,"Data Science"
2015-04-01,3,"Data Science"
2015-05-01,3,"Data Science"
2015-06-01,3,"Data Science"
2015-07-01,3,"Data Science"
2015-08-01,3,"Data Science"
2015-09-01,4,"Data Science"
2015-10-01,3,"Data Science"
2015-11-01,3,"Data Science"
2015-12-01,3,"Data Science"
2016-01-01,3,"Data Science"
2016-02-01,3,"Data Science"
2016-03-01,3,"Data Science"
2016-04-01,3,"Data Science"
2016-05-01,3,"Data Science"
2016-06-01,4,"Data Science"
2016-07-01,4,"Data Science"
2016-08-01,4,"Data Science"
2016-09-01,5,"Data Science"
2016-10-01,4,"Data Science"
2016-11-01,4,"Data Science"
2016-12-01,4,"Data Science"
2017-01-01,6,"Data Science"
2017-02-01,6,"Data Science"
2017-03-01,6,"Data Science"
2017-04-01,6,"Data Science"
2017-05-01,6,"Data Science"
2017-06-01,6,"Data Science"
2017-07-01,6,"Data Science"
2017-08-01,7,"Data Science"
2017-09-01,7,"Data Science"
2017-10-01,7,"Data Science"
2017-11-01,7,"Data Science"
2017-12-01,6,"Data Science"
2018-01-01,8,"Data Science"
2018-02-01,8,"Data Science"
2018-03-01,8,"Data Science"
2018-04-01,8,"Data Science"
2018-05-01,8,"Data Science"
2018-06-01,8,"Data Science"
2018-07-01,8,"Data Science"
2018-08-01,9,"Data Science"
2018-09-01,9,"Data Science"
2018-10-01,10,"Data Science"
2018-11-01,9,"Data Science"
2018-12-01,8,"Data Science"
2019-01-01,10,"Data Science"
2019-02-01,10,"Data Science"
2019-03-01,10,"Data Science"
2019-04-01,11,"Data Science"
2019-05-01,11,"Data Science"
2019-06-01,11,"Data Science"
2019-07-01,12,"Data Science"
2019-08-01,12,"Data Science"
2019-09-01,13,"Data Science"
2019-10-01,13,"Data Science"
2019-11-01,13,"Data Science"
2019-12-01,11,"Data Science"
2020-01-01,13,"Data Science"
2020-02-01,14,"Data Science"
2020-03-01,12,"Data Science"
2020-04-01,12,"Data Science"
2020-05-01,12,"Data Science"
2020-06-01,13,"Data Science"
2020-07-01,14,"Data Science"
2020-08-01,14,"Data Science"
2020-09-01,14,"Data Science"
2020-10-01,13,"Data Science"
2020-11-01,10,"Data Science"
2020-12-01,10,"Data Science"
2021-01-01,11,"Data Science"
2021-02-01,11,"Data Science"
2021-03-01,11,"Data Science"
2021-04-01,11,"Data Science"
2021-05-01,12,"Data Science"
2021-06-01,12,"Data Science"
2021-07-01,11,"Data Science"
2021-08-01,12,"Data Science"
2021-09-01,13,"Data Science"
2021-10-01,12,"Data Science"
2021-11-01,12,"Data Science"
2021-12-01,12,"Data Science"
2022-01-01,17,"Data Science"
2022-02-01,17,"Data Science"
2022-03-01,17,"Data Science"
2022-04-01,18,"Data Science"
2022-05-01,17,"Data Science"
2022-06-01,17,"Data Science"
2022-07-01,17,"Data Science"
2022-08-01,19,"Data Science"
2022-09-01,19,"Data Science"
2022-10-01,17,"Data Science"
2004-01-01,89,"Economics"
2004-02-01,100,"Economics"
2004-03-01,90,"Economics"
2004-04-01,90,"Economics"
2004-05-01,79,"Economics"
2004-06-01,75,"Economics"
2004-07-01,81,"Economics"
2004-08-01,75,"Economics"
2004-09-01,78,"Economics"
2004-10-01,83,"Economics"
2004-11-01,82,"Economics"
2004-12-01,71,"Economics"
2005-01-01,71,"Economics"
2005-02-01,73,"Economics"
2005-03-01,69,"Economics"
2005-04-01,63,"Economics"
2005-05-01,70,"Economics"
2005-06-01,59,"Economics"
2005-07-01,55,"Economics"
2005-08-01,56,"Economics"
2005-09-01,70,"Economics"
2005-10-01,75,"Economics"
2005-11-01,70,"Economics"
2005-12-01,59,"Economics"
2006-01-01,64,"Economics"
2006-02-01,61,"Economics"
2006-03-01,67,"Economics"
2006-04-01,58,"Economics"
2006-05-01,58,"Economics"
2006-06-01,49,"Economics"
2006-07-01,41,"Economics"
2006-08-01,44,"Economics"
2006-09-01,56,"Economics"
2006-10-01,62,"Economics"
2006-11-01,58,"Economics"
2006-12-01,46,"Economics"
2007-01-01,54,"Economics"
2007-02-01,53,"Economics"
2007-03-01,53,"Economics"
2007-04-01,48,"Economics"
2007-05-01,50,"Economics"
2007-06-01,44,"Economics"
2007-07-01,40,"Economics"
2007-08-01,44,"Economics"
2007-09-01,53,"Economics"
2007-10-01,55,"Economics"
2007-11-01,54,"Economics"
2007-12-01,46,"Economics"
2008-01-01,53,"Economics"
2008-02-01,50,"Economics"
2008-03-01,48,"Economics"
2008-04-01,50,"Economics"
2008-05-01,46,"Economics"
2008-06-01,41,"Economics"
2008-07-01,37,"Economics"
2008-08-01,40,"Economics"
2008-09-01,51,"Economics"
2008-10-01,59,"Economics"
2008-11-01,52,"Economics"
2008-12-01,44,"Economics"
2009-01-01,50,"Economics"
2009-02-01,53,"Economics"
2009-03-01,48,"Economics"
2009-04-01,46,"Economics"
2009-05-01,41,"Economics"
2009-06-01,42,"Economics"
2009-07-01,36,"Economics"
2009-08-01,39,"Economics"
2009-09-01,50,"Economics"
2009-10-01,51,"Economics"
2009-11-01,49,"Economics"
2009-12-01,40,"Economics"
2010-01-01,44,"Economics"
2010-02-01,47,"Economics"
2010-03-01,46,"Economics"
2010-04-01,45,"Economics"
2010-05-01,43,"Economics"
2010-06-01,40,"Economics"
2010-07-01,34,"Economics"
2010-08-01,38,"Economics"
2010-09-01,46,"Economics"
2010-10-01,47,"Economics"
2010-11-01,46,"Economics"
2010-12-01,38,"Economics"
2011-01-01,43,"Economics"
2011-02-01,43,"Economics"
2011-03-01,44,"Economics"
2011-04-01,39,"Economics"
2011-05-01,40,"Economics"
2011-06-01,40,"Economics"
2011-07-01,34,"Economics"
2011-08-01,39,"Economics"
2011-09-01,47,"Economics"
2011-10-01,45,"Economics"
2011-11-01,48,"Economics"
2011-12-01,40,"Economics"
2012-01-01,43,"Economics"
2012-02-01,46,"Economics"
2012-03-01,43,"Economics"
2012-04-01,45,"Economics"
2012-05-01,42,"Economics"
2012-06-01,40,"Economics"
2012-07-01,34,"Economics"
2012-08-01,38,"Economics"
2012-09-01,48,"Economics"
2012-10-01,46,"Economics"
2012-11-01,45,"Economics"
2012-12-01,35,"Economics"
2013-01-01,42,"Economics"
2013-02-01,43,"Economics"
2013-03-01,40,"Economics"
2013-04-01,43,"Economics"
2013-05-01,39,"Economics"
2013-06-01,37,"Economics"
2013-07-01,31,"Economics"
2013-08-01,34,"Economics"
2013-09-01,43,"Economics"
2013-10-01,46,"Economics"
2013-11-01,39,"Economics"
2013-12-01,36,"Economics"
2014-01-01,41,"Economics"
2014-02-01,46,"Economics"
2014-03-01,42,"Economics"
2014-04-01,42,"Economics"
2014-05-01,40,"Economics"
2014-06-01,38,"Economics"
2014-07-01,31,"Economics"
2014-08-01,35,"Economics"
2014-09-01,46,"Economics"
2014-10-01,45,"Economics"
2014-11-01,43,"Economics"
2014-12-01,36,"Economics"
2015-01-01,41,"Economics"
2015-02-01,44,"Economics"
2015-03-01,44,"Economics"
2015-04-01,42,"Economics"
2015-05-01,42,"Economics"
2015-06-01,38,"Economics"
2015-07-01,31,"Economics"
2015-08-01,36,"Economics"
2015-09-01,47,"Economics"
2015-10-01,44,"Economics"
2015-11-01,45,"Economics"
2015-12-01,37,"Economics"
2016-01-01,41,"Economics"
2016-02-01,44,"Economics"
2016-03-01,42,"Economics"
2016-04-01,44,"Economics"
2016-05-01,40,"Economics"
2016-06-01,37,"Economics"
2016-07-01,29,"Economics"
2016-08-01,36,"Economics"
2016-09-01,46,"Economics"
2016-10-01,45,"Economics"
2016-11-01,44,"Economics"
2016-12-01,38,"Economics"
2017-01-01,43,"Economics"
2017-02-01,46,"Economics"
2017-03-01,44,"Economics"
2017-04-01,42,"Economics"
2017-05-01,42,"Economics"
2017-06-01,37,"Economics"
2017-07-01,33,"Economics"
2017-08-01,36,"Economics"
2017-09-01,45,"Economics"
2017-10-01,47,"Economics"
2017-11-01,47,"Economics"
2017-12-01,38,"Economics"
2018-01-01,43,"Economics"
2018-02-01,44,"Economics"
2018-03-01,45,"Economics"
2018-04-01,44,"Economics"
2018-05-01,40,"Economics"
2018-06-01,35,"Economics"
2018-07-01,33,"Economics"
2018-08-01,36,"Economics"
2018-09-01,47,"Economics"
2018-10-01,48,"Economics"
2018-11-01,42,"Economics"
2018-12-01,38,"Economics"
2019-01-01,42,"Economics"
2019-02-01,43,"Economics"
2019-03-01,41,"Economics"
2019-04-01,39,"Economics"
2019-05-01,40,"Economics"
2019-06-01,35,"Economics"
2019-07-01,34,"Economics"
2019-08-01,37,"Economics"
2019-09-01,46,"Economics"
2019-10-01,47,"Economics"
2019-11-01,42,"Economics"
2019-12-01,36,"Economics"
2020-01-01,41,"Economics"
2020-02-01,44,"Economics"
2020-03-01,38,"Economics"
2020-04-01,37,"Economics"
2020-05-01,34,"Economics"
2020-06-01,33,"Economics"
2020-07-01,33,"Economics"
2020-08-01,37,"Economics"
2020-09-01,50,"Economics"
2020-10-01,40,"Economics"
2020-11-01,37,"Economics"
2020-12-01,34,"Economics"
2021-01-01,37,"Economics"
2021-02-01,40,"Economics"
2021-03-01,39,"Economics"
2021-04-01,38,"Economics"
2021-05-01,34,"Economics"
2021-06-01,33,"Economics"
2021-07-01,32,"Economics"
2021-08-01,38,"Economics"
2021-09-01,49,"Economics"
2021-10-01,44,"Economics"
2021-11-01,42,"Economics"
2021-12-01,36,"Economics"
2022-01-01,45,"Economics"
2022-02-01,55,"Economics"
2022-03-01,56,"Economics"
2022-04-01,54,"Economics"
2022-05-01,52,"Economics"
2022-06-01,47,"Economics"
2022-07-01,44,"Economics"
2022-08-01,46,"Economics"
2022-09-01,60,"Economics"
2022-10-01,52,"Economics"
